País,Proporción de la población en pobreza extrema a $2.15 al día (PPP 2017) (%),"Esperanza de vida al nacer, total (años)","Población, total",Crecimiento de la población (anual %),Migración neta,Índice de Capital Humano (HCI) (escala 0-1),PIB (US$ corrientes)US$ corrientesUS$ constantesLCU corrientesLCU constantes,PIB per cápita (US$ corrientes)US$ corrientesUS$ constantesLCU corrientesLCU constantes,Crecimiento del PIB (anual %),"Desempleo, total (% de la fuerza laboral total) (estimación OIT modelada)","Inflación, precios al consumidor (anual %)","Remesas personales, recibidas (% del PIB)",Emisiones de CO2 (toneladas métricas per cápita),Superficie forestal (% del área terrestre),Acceso a la electricidad (% de la población),"Retiros anuales de agua dulce, total (% de recursos internos)","Producción de electricidad a partir de fuentes renovables, excluyendo hidroeléctrica (% del total)",Personas que utilizan servicios de saneamiento gestionados de forma segura (% de la población),Homicidios intencionales (por cada 100.000 habitantes),"Deuda pública del gobierno central, total (% del PIB)",Indicadores de desempeño estadístico (SPI): Puntuación general (escala 0-100),Individuos que utilizan Internet (% de la población),Proporción de escaños ocupados por mujeres en los parlamentos nacionales (%),"Inversión extranjera directa, entradas netas (% del PIB)",Unnamed: 25
burundi,65.1,62.0,"12,889,576",2.7,"-14,415",0.4,3.07,238.4,1.8,1.0,18.8,1.6,0.1,10.9,10.2,3,,,6.0,,50.9,6.0,38.0,0.3,
cabo-verde,4.6,74.0,"593,149",0.9,"-1,274",,2.31,"3,902.60",17.7,13.6,1.9,13.5,1.1,11.3,95.5,8,,,6.0,,54.7,70.0,39.0,5.5,
cambodia,,70.0,"16,767,842",1.1,"-24,262",0.5,29.96,"1,786.60",5.2,0.4,5.3,8.7,1.1,45.7,82.5,2,0.9,,2.0,,56.2,60.0,21.0,11.9,
cameroon,25.7,60.0,"27,914,536",2.6,"-9,889",0.4,44.34,"1,588.50",3.5,4.0,6.2,0.8,0.4,43.0,65.4,0,1.1,,5.0,,53.5,46.0,34.0,2.1,
canada,0.2,83.0,"38,929,902",1.8,"195,181",0.8,2.14,"54,966.50",3.4,5.2,6.8,0.0,13.6,38.7,100.0,1,6.3,84.0,2.0,64.0,87.5,93.0,30.0,2.5,
cayman-islands,,82.0,"68,706",0.8,276,,6.03,"88,475.60",4,,-0.6,0.2,,53.0,100.0,,,,4.0,,,81.0,,429.5,
central-african-republic,61.9,54.0,"5,579,144",2.2,"-85,860",0.3,2.38,427.1,0,6.4,5.6,0.0,0.0,35.8,15.7,0,,14.0,20.0,,,11.0,13.0,1.2,
chad,30.9,53.0,"17,723,315",3.1,"9,016",0.3,12.7,716.8,2.2,1.4,5.8,0.0,0.1,3.4,11.3,6,,10.0,,,38.5,18.0,26.0,4.8,
channel-islands,,81.0,"174,079",0.8,"1,242",,11.74,"67,960.70",8.6,6.9,,,,5.2,100.0,,,82.0,0.0,,,,,,
chile,0.7,79.0,"19,603,733",0.6,"113,709",0.7,301.03,"15,355.50",2.4,7.8,11.6,0.0,4.4,24.5,100.0,4,11.9,79.0,4.0,13.1,82.4,90.0,35.0,6.9,
china,0.1,78.0,1.41,0,"-200,194",0.7,17.96,"12,720.20",3,4.9,2.0,0.1,7.8,23.4,100.0,20,4.9,70.0,1.0,,58.2,73.0,25.0,1,
colombia,6.6,73.0,"51,874,024",0.7,"211,978",0.6,343.94,"6,630.30",7.5,10.7,10.2,2.7,1.6,53.3,100.0,1,3.3,18.0,27.0,79.8,73.8,73.0,29.0,5,
comoros,18.6,63.0,"836,774",1.8,"-1,772",0.4,1.24,"1,484.90",2.4,8.8,-4.3,20.1,0.4,17.7,87.9,1,,,,,,27.0,17.0,0.3,
congo-dem-rep,69.7,59.0,"99,010,212",3.2,"-64,643",0.4,58,58.07,8.9,5.0,2.9,2.9,0.0,55.6,20.8,0,0.1,13.0,,,33.8,23.0,13.0,3,
congo-rep,35.4,64.0,"5,970,424",2.3,"-4,466",0.4,14.62,"2,448.00",1.5,21.8,3.0,0.1,1.3,64.3,49.7,0,0.0,,,25.5,36.6,9.0,15.0,27.6,
costa-rica,1.2,77.0,"5,180,829",0.5,"2,084",0.6,68.38,"13,198.80",4.3,11.5,8.3,0.9,1.4,59.4,100.0,3,24.4,30.0,11.0,39.3,79.8,83.0,47.0,5.2,
cote-divoire,11.4,59.0,"28,160,542",2.5,"-21,000",0.4,70.02,"2,486.40",6.7,2.6,5.3,0.5,0.4,8.9,71.1,2,1.2,,,,56.1,45.0,14.0,1.9,
croatia,0.3,76.0,"3,854,000",-0.6,"-10,402",0.7,70.96,"18,413.20",6.3,6.7,10.8,7.6,3.9,34.7,100.0,2,10.0,68.0,1.0,688.0,68.4,81.0,32.0,5.2,
